Initial Solid Degradable Fraction,Placement Dry Density,Placement Moisture Content,Maximum Hydrolysis Rate,Thermal Conductivity,Specific Heat Capacity,Injection Pressure,Injection Duration,Time,Methane Generation,Max Temp
36.4,653.7,43.5,2500,0.5,1649.6,0,0,26.602,101.0003477,30.426502
36.4,653.7,43.5,2500,0.5,1649.6,0,0,26.741,101.0026991,30.270215
36.4,653.7,43.5,2500,0.5,1649.6,0,0,26.881,101.0045303,30.115677
36.4,653.7,43.5,2500,0.5,1649.6,0,0,27.02,101.0050606,29.965052
36.4,653.7,43.5,2500,0.5,1649.6,0,0,27.159,101.0051607,29.816842
36.4,653.7,43.5,2500,0.5,1649.6,0,0,27.299,101.0052107,29.669486
36.4,653.7,43.5,2500,0.5,1649.6,0,0,27.438,101.0053508,29.525011
36.4,653.7,43.5,2500,0.5,1649.6,0,0,27.577,101.0061813,29.387095
36.4,653.7,43.5,2500,0.5,1649.6,0,0,27.716,101.0080625,29.253216
36.4,653.7,43.5,2500,0.5,1649.6,0,0,27.856,101.0097735,29.120622
36.4,653.7,43.5,2500,0.5,1649.6,0,0,27.995,101.0103539,28.991048
36.4,653.7,43.5,2500,0.5,1649.6,0,0,28.134,101.010444,28.86336
36.4,653.7,43.5,2500,0.5,1649.6,0,0,28.273,101.010484,28.737452
36.4,653.7,43.5,2500,0.5,1649.6,0,0,28.413,101.010564,28.612073
36.4,653.7,43.5,2500,0.5,1649.6,0,0,28.552,101.0110944,28.489148
36.4,653.7,43.5,2500,0.5,1649.6,0,0,28.691,101.0125553,28.371199
36.4,653.7,43.5,2500,0.5,1649.6,0,0,28.831,101.0141162,28.256731
36.4,653.7,43.5,2500,0.5,1649.6,0,0,28.97,101.0147466,28.144863
36.4,653.7,43.5,2500,0.5,1649.6,0,0,29.109,101.0148467,28.034472
36.4,653.7,43.5,2500,0.5,1649.6,0,0,29.248,101.0148767,27.925522
36.4,653.7,43.5,2500,0.5,1649.6,0,0,29.388,101.0149167,27.817135
36.4,653.7,43.5,2500,0.5,1649.6,0,0,29.527,101.0152369,27.710864
36.4,653.7,43.5,2500,0.5,1649.6,0,0,29.666,101.0163476,27.60622
36.4,653.7,43.5,2500,0.5,1649.6,0,0,29.806,101.0177385,27.506041
36.4,653.7,43.5,2500,0.5,1649.6,0,0,29.945,101.0183989,27.409042
36.4,653.7,43.5,2500,0.5,1649.6,0,0,30.084,101.018519,27.313353
36.4,653.7,43.5,2500,0.5,1649.6,0,0,30.223,101.018549,27.218996
36.4,653.7,43.5,2500,0.5,1649.6,0,0,30.363,101.018569,27.125005
36.4,653.7,43.5,2500,0.5,1649.6,0,0,30.502,101.0187591,27.032688
36.4,653.7,43.5,2500,0.5,1649.6,0,0,30.641,101.0195696,26.941403
36.4,653.7,43.5,2500,0.5,1649.6,0,0,30.78,101.0207604,26.851321
36.4,653.7,43.5,2500,0.5,1649.6,0,0,30.92,101.0214608,26.765363
36.4,653.7,43.5,2500,0.5,1649.6,0,0,31.059,101.0216009,26.682053
36.4,653.7,43.5,2500,0.5,1649.6,0,0,31.198,101.0216209,26.599745
36.4,653.7,43.5,2500,0.5,1649.6,0,0,31.338,101.0216309,26.517818
36.4,653.7,43.5,2500,0.5,1649.6,0,0,31.477,101.021741,26.437402
36.4,653.7,43.5,2500,0.5,1649.6,0,0,31.616,101.0223214,26.357719
36.4,653.7,43.5,2500,0.5,1649.6,0,0,31.755,101.023322,26.278878
36.4,653.7,43.5,2500,0.5,1649.6,0,0,31.895,101.0240224,26.204427
36.4,653.7,43.5,2500,0.5,1649.6,0,0,32.034,101.0241825,26.131585
36.4,653.7,43.5,2500,0.5,1649.6,0,0,32.173,101.0242025,26.059617
36.4,653.7,43.5,2500,0.5,1649.6,0,0,32.312,101.0242125,25.988333
36.4,653.7,43.5,2500,0.5,1649.6,0,0,32.452,101.0242726,25.917283
36.4,653.7,43.5,2500,0.5,1649.6,0,0,32.591,101.0246628,25.847391
36.4,653.7,43.5,2500,0.5,1649.6,0,0,32.73,101.0254933,25.78101
36.4,653.7,43.5,2500,0.5,1649.6,0,0,32.87,101.0261738,25.717401
36.4,653.7,43.5,2500,0.5,1649.6,0,0,33.009,101.0263639,25.654783
36.4,653.7,43.5,2500,0.5,1649.6,0,0,33.148,101.0263839,25.592736
36.4,653.7,43.5,2500,0.5,1649.6,0,0,33.287,101.0263939,25.53126
36.4,653.7,43.5,2500,0.5,1649.6,0,0,33.427,101.0264239,25.469926
36.4,653.7,43.5,2500,0.5,1649.6,0,0,33.566,101.0266841,25.409608
36.4,653.7,43.5,2500,0.5,1649.6,0,0,33.705,101.0273445,25.349728
36.4,653.7,43.5,2500,0.5,1649.6,0,0,33.845,101.0279749,25.289941
36.4,653.7,43.5,2500,0.5,1649.6,0,0,33.984,101.028195,25.231069
36.4,653.7,43.5,2500,0.5,1649.6,0,0,34.123,101.028225,25.173073
36.4,653.7,43.5,2500,0.5,1649.6,0,0,34.262,101.028235,25.118207
36.4,653.7,43.5,2500,0.5,1649.6,0,0,34.402,101.028245,25.06342
36.4,653.7,43.5,2500,0.5,1649.6,0,0,34.541,101.0284051,25.009434
36.4,653.7,43.5,2500,0.5,1649.6,0,0,34.68,101.0289255,24.955917
36.4,653.7,43.5,2500,0.5,1649.6,0,0,34.819,101.0295058,24.902742
36.4,653.7,43.5,2500,0.5,1649.6,0,0,34.959,101.029746,24.849619
36.4,653.7,43.5,2500,0.5,1649.6,0,0,35.098,101.029776,24.797942
36.4,653.7,43.5,2500,0.5,1649.6,0,0,35.237,101.029786,24.747528
36.4,653.7,43.5,2500,0.5,1649.6,0,0,35.377,101.029796,24.697156
36.4,653.7,43.5,2500,0.5,1649.6,0,0,35.516,101.0298961,24.647548
36.4,653.7,43.5,2500,0.5,1649.6,0,0,35.655,101.0302763,24.598231
36.4,653.7,43.5,2500,0.5,1649.6,0,0,35.794,101.0307966,24.549258
36.4,653.7,43.5,2500,0.5,1649.6,0,0,35.934,101.0310568,24.500305
36.4,653.7,43.5,2500,0.5,1649.6,0,0,36.073,101.0310968,24.452103
36.4,653.7,43.5,2500,0.5,1649.6,0,0,36.212,101.0311068,24.404212
36.4,653.7,43.5,2500,0.5,1649.6,0,0,36.351,101.0311068,24.356679
36.4,653.7,43.5,2500,0.5,1649.6,0,0,36.491,101.0311669,24.309164
36.4,653.7,43.5,2500,0.5,1649.6,0,0,36.63,101.031447,24.26235
36.4,653.7,43.5,2500,0.5,1649.6,0,0,36.769,101.0318973,24.215798
36.4,653.7,43.5,2500,0.5,1649.6,0,0,36.909,101.0321675,24.169255
36.4,653.7,43.5,2500,0.5,1649.6,0,0,37.048,101.0322175,24.123362
36.4,653.7,43.5,2500,0.5,1649.6,0,0,37.187,101.0322275,24.077811
36.4,653.7,43.5,2500,0.5,1649.6,0,0,37.326,101.0322275,24.032645
36.4,653.7,43.5,2500,0.5,1649.6,0,0,37.466,101.0322576,23.987439
36.4,653.7,43.5,2500,0.5,1649.6,0,0,37.605,101.0324577,23.942842
36.4,653.7,43.5,2500,0.5,1649.6,0,0,37.744,101.0328279,23.898537
36.4,653.7,43.5,2500,0.5,1649.6,0,0,37.884,101.0331081,23.854228
36.4,653.7,43.5,2500,0.5,1649.6,0,0,38.023,101.0331681,23.810579
36.4,653.7,43.5,2500,0.5,1649.6,0,0,38.162,101.0331781,23.767196
36.4,653.7,43.5,2500,0.5,1649.6,0,0,38.301,101.0331781,23.724126
